smiles,O,next_O,o_1,m_1,p,m_2,o_2
Oc1ccccc1,0,1,2,3,4,5,6
Nc1ccccc1O,7,6,5,4,3,2,1
Cc1ccccc1O,7,6,5,4,3,2,1
