smiles,Charge_O,Charge_next_O,Charge_o_1,Charge_m_1,Charge_p,Charge_m_2,Charge_o_2
O=C(O)c1cccc(O)c1,-0.761117,0.411615,-0.223627,-0.19908,-0.194566,-0.134286,-0.269715
O=C(O)c1ccc(O)cc1,-0.751966,0.436163,-0.301306,-0.148852,-0.182548,-0.152687,-0.26139
CCOc1ccc(O)cc1,-0.767908,0.389744,-0.268473,-0.235979,0.416655,-0.266183,-0.232397
Oc1ccc(Cl)cc1F,-0.759221,0.350612,-0.236059,-0.173043,-0.15222,-0.231549,0.391239
Oc1ccc(F)cc1Cl,-0.742395,0.43738,-0.265969,-0.258861,0.453193,-0.243289,-0.190101
Oc1ccc(F)c(F)c1F,-0.759093,0.364755,-0.239342,-0.261306,0.394069,0.35555,0.315616
CCC(C)c1ccc(O)cc1,-0.76411,0.404659,-0.281461,-0.21606,0.025494,-0.203116,-0.241524
O=C(O)Cc1ccc(O)cc1,-0.760956,0.411979,-0.245311,-0.199861,-0.02326,-0.188289,-0.283799
COC(=O)c1ccc(O)cc1,-0.753602,0.434763,-0.261682,-0.152589,-0.18766,-0.150138,-0.301602
CC(C)=CCc1ccc(O)cc1,-0.764397,0.405234,-0.242091,-0.216342,0.009067,-0.192773,-0.282312
Oc1cc(Cl)cc(Cl)c1,-0.751394,0.431381,-0.267613,-0.114186,-0.18797,-0.116024,-0.224843
Oc1ccc(Cl)cc1Cl,-0.755818,0.439794,-0.236326,-0.161987,-0.156975,-0.141019,-0.216189
O=C(O)C=Cc1ccc(O)cc1,-0.753914,0.425099,-0.290627,-0.177975,-0.017443,-0.192038,-0.251624
CC=Cc1ccc(O)c(OC)c1,-0.777036,0.365668,-0.237537,-0.232974,0.03032,-0.287858,0.378245
CC(=O)Nc1ccc(O)cc1C,-0.766401,0.410572,-0.290306,-0.202447,0.192181,0.043495,-0.27893
CCC(=O)Nc1ccc(O)cc1,-0.764587,0.398789,-0.275164,-0.245399,0.335691,-0.221732,-0.239611
O=C(O)CCc1ccc(O)cc1,-0.762324,0.406537,-0.24077,-0.204712,0.009171,-0.205451,-0.281403
CCCCOc1ccc(O)cc1,-0.768052,0.389582,-0.232437,-0.265993,0.417139,-0.236754,-0.268485
COc1cc(C(C)O)ccc1O,-0.777446,0.364668,-0.237902,-0.227754,-0.047557,-0.279787,0.377897
Oc1ccccc1Br,-0.74215,0.430548,-0.279101,-0.180088,-0.222435,-0.171438,-0.069391
Oc1ccc(Br)cc1,-0.757667,0.415156,-0.242357,-0.170995,-0.033483,-0.169608,-0.282913
CCCCCCc1ccc(O)cc1,-0.764262,0.404159,-0.281706,-0.206041,0.017868,-0.205321,-0.241312
CC(C)c1ccc(O)c(C(C)C)c1,-0.772043,0.370752,-0.269859,-0.228694,0.039408,-0.229621,-0.0044
CCCC(=O)Nc1ccc(O)cc1,-0.766744,0.400175,-0.235661,-0.244733,0.332923,-0.221509,-0.279356
COc1cc(C=CCO)ccc1O,-0.776194,0.364259,-0.237621,-0.219204,0.033759,-0.294202,0.374974
CC(C)OC(=O)c1ccc(O)cc1,-0.754096,0.434343,-0.301698,-0.150599,-0.190337,-0.152814,-0.261742
CCCOC(=O)c1ccc(O)cc1,-0.75395,0.434399,-0.261696,-0.153931,-0.188908,-0.150395,-0.301475
NC(Cc1ccc(O)cc1)C(=O)O,-0.761929,0.409404,-0.28455,-0.207656,-0.031123,-0.213542,-0.244517
COc1cc(CC(=O)O)ccc1O,-0.776584,0.36768,-0.23981,-0.223558,-0.009641,-0.273731,0.377361
COC(=O)c1ccc(OC)c(O)c1,-0.77472,0.360311,-0.217039,-0.163326,-0.181695,-0.272404,0.392117
Oc1ccc(Br)cc1F,-0.758941,0.352969,-0.238546,-0.18049,-0.026161,-0.241124,0.390168
COc1cc(C=CC(C)=O)ccc1O,-0.769633,0.377827,-0.243818,-0.200678,0.008696,-0.277246,0.37026
COc1cc(C=CC(=O)O)ccc1O,-0.768486,0.379881,-0.244615,-0.198165,0.00445,-0.275053,0.369934
CCCCOC(=O)c1ccc(O)cc1,-0.754077,0.434309,-0.261714,-0.153246,-0.18939,-0.150412,-0.301668
CC(C)COC(=O)c1ccc(O)cc1,-0.753964,0.434407,-0.301463,-0.15038,-0.189523,-0.154059,-0.261725
CCCCCCOc1ccc(O)cc1,-0.76809,0.389524,-0.268479,-0.236901,0.417413,-0.266002,-0.232449
COc1cc(CCC(=O)O)ccc1O,-0.779332,0.362643,-0.236961,-0.227594,0.012103,-0.29585,0.375058
CCCCCCCCc1ccc(O)cc1,-0.764276,0.404137,-0.241311,-0.205321,0.017871,-0.206002,-0.281707
Oc1cc(Cl)cc(Br)c1,-0.751637,0.429827,-0.265919,-0.116986,-0.194356,0.009558,-0.23389
O=CNC(Cc1ccc(O)cc1)C(=O)O,-0.763154,0.409242,-0.243907,-0.202203,-0.022573,-0.202348,-0.286621
O=C(O)CCC(=O)Nc1ccc(O)cc1,-0.76783,0.39953,-0.236928,-0.248602,0.331334,-0.223281,-0.28053
COc1cc(C=NNC(N)=O)ccc1O,-0.771508,0.377603,-0.24539,-0.219915,-0.032582,-0.262134,0.379396
NC(Cc1ccc(O)c(Cl)c1)C(=O)O,-0.760002,0.43493,-0.241101,-0.209997,-0.027632,-0.187543,-0.217728
CC(=O)NC(Cc1ccc(O)cc1)C(N)=O,-0.761232,0.406037,-0.287798,-0.202845,0.001683,-0.208851,-0.24385
CC(=O)NC(Cc1ccc(O)cc1)C(=O)O,-0.763402,0.406955,-0.28594,-0.189584,-0.002407,-0.209918,-0.244533
