,PC1,PC2
1,-0.14782994402542943,0.08031896719054178
2,-0.04655889519156695,-0.00937175988170538
3,0.022648168473823515,-0.047497202861405345
4,-0.03501964078572664,-0.008242419764966192
5,-0.05262694440429193,0.00823375041504921
6,0.0181487754889879,-0.029889056061855917
7,0.009693729239452359,0.01414117571391557
8,-0.019085129738924258,-0.0015809898337234504
9,-0.06650338459921706,0.007512095286970034
10,-0.013153324053481096,-0.024426036969186417
11,-0.02229537787461764,-0.01078695949544249
12,-0.023229274816327864,-0.004329344875146239
13,-0.03349347095322209,0.10169578701027503
14,-0.01864604520991489,-0.028133786550461216
15,0.0026701122594657753,-0.030738951536442682
16,0.015084811783383143,0.01226776713508631
17,-0.012037845283343515,0.024912866424937882
18,0.009850047216430893,-0.13158401791004054
19,-0.043009711420702056,-0.0031247061522878742
20,-0.043070053953337566,0.004665080287174448
21,-0.032216716206781244,-0.018901967896558836
24,-0.01639215317624309,-0.0014632839979461043
25,0.5287891389488126,0.31973719066184875
26,0.004458809373144875,-0.0037128043654738475
27,-0.05227508800649169,0.013325374862254324
28,-0.01812365273956747,-0.09085187357693947
29,-0.048602375490672346,-0.004426319584396289
30,-0.009658557582449143,-0.0036548851387776847
31,-0.006203741097316925,0.11213025796921003
32,-0.016136826214091547,-0.01593966311564069
33,-0.025249234062837723,0.01801171796552518
34,0.004840372834137122,-0.014714722369522804
35,0.062026751859221955,0.0007939481162527944
36,-0.008879924985988576,0.005939696031193967
37,-0.023445204758285938,0.016026419368823024
38,-0.012786209817464173,0.043146782682658494
39,-0.0011514461928159784,0.003911923393548821
40,0.0847831726148655,0.160729552834608
41,-0.03707223399393288,0.031084901957527535
42,0.0424340983034921,0.00845289428018906
43,-0.016776059365378553,0.016619758716848135
44,-0.031925804660108976,0.052231483072465425
45,0.17294932193508195,-0.13870040214290366
46,-0.05244128595219979,0.03910923527961943
47,-0.004403452409274857,-0.0009553754197028138
49,-0.02056012328256092,0.011379369963650235
50,0.01454463209731671,-0.014974302107709999
51,0.008391204963983654,0.00615321883753875
52,-0.007290204851546014,0.02625581354636317
53,0.0009839248730985294,-0.012285000826359518
54,-0.04970184753558084,0.09935208892666772
55,-0.02702287268253072,0.007518671126850477
56,-0.04122387339464516,0.00898391038039767
57,-0.013002830261691965,-0.010736107946932208
58,-0.010003084161521542,0.030635235169474688
59,-0.003475139409353732,-0.0011707823853041738
60,-0.001407877305860655,0.002615549366587509
61,-0.03619870030302828,0.033040484377148856
62,-0.04282885922482762,-0.01112754514884277
63,-0.0109094177984927,-0.044754551459107395
64,0.04457742102465547,-0.050453369327637734
65,-0.10581544532923352,-0.0551220312590719
66,0.02453812587845122,-0.02325397461701626
67,-0.07406360270961942,0.10823967665222803
68,0.05236810325084215,-0.011383185631535677
69,0.07051433695193432,0.06594927794204718
70,-0.02836148320610621,0.01903505444056289
71,-0.012811680015095847,-0.01077321086502803
